Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Nedbør (døgn);Middeltemperatur (døgn)
Flesland;SN50500;06.01.2021;3,3;0;-4,3
Flesland;SN50500;07.01.2021;2,8;0;-1,4
Flesland;SN50500;08.01.2021;3,2;0;-2,5
Flesland;SN50500;09.01.2021;0;0;0,7
Flesland;SN50500;10.01.2021;0;12,1;0,4
Flesland;SN50500;11.01.2021;0,8;10,9;-2,4
Flesland;SN50500;12.01.2021;0,1;0,7;-0,7
Flesland;SN50500;13.01.2021;5,4;0,2;-1,8
Flesland;SN50500;14.01.2021;2,2;0;-4,9
Flesland;SN50500;15.01.2021;5,5;0;-5,3
Flesland;SN50500;16.01.2021;0,1;0;-1,4
Flesland;SN50500;17.01.2021;0;1,1;2
Flesland;SN50500;18.01.2021;0;2,9;2,4
Flesland;SN50500;19.01.2021;0,2;12,9;1,5
Flesland;SN50500;20.01.2021;0;0,2;2,2
Flesland;SN50500;21.01.2021;2,8;16,8;5,9
Flesland;SN50500;22.01.2021;0;8,5;3,4
Flesland;SN50500;23.01.2021;0,3;15,9;2,7
Flesland;SN50500;24.01.2021;1,1;2;0,3
Flesland;SN50500;25.01.2021;5,6;0;-2,6
Flesland;SN50500;26.01.2021;5,5;1,8;-1,9
Flesland;SN50500;27.01.2021;6,4;0,1;-4,9
Flesland;SN50500;28.01.2021;0;0;-4,6
Flesland;SN50500;29.01.2021;3,5;0,4;-2
Flesland;SN50500;30.01.2021;0;0,3;-1,4
Flesland;SN50500;31.01.2021;0;8,1;-1,7
Flesland;SN50500;01.02.2021;3,1;8,1;-5,2
Flesland;SN50500;02.02.2021;1,9;0;-5,4
Flesland;SN50500;03.02.2021;5,8;0;-7,1
Flesland;SN50500;04.02.2021;0,6;0;-6,3
Flesland;SN50500;05.02.2021;6,5;0;-7,1
Flesland;SN50500;06.02.2021;5,6;0;-6,3
Flesland;SN50500;07.02.2021;5,9;0;-7
Flesland;SN50500;08.02.2021;5,8;0;-6,9
Flesland;SN50500;09.02.2021;6;0;-6,7
Flesland;SN50500;10.02.2021;4,2;0;-6,3
Flesland;SN50500;11.02.2021;6,2;0;-5,4
Flesland;SN50500;12.02.2021;6,3;0;-6,9
Flesland;SN50500;13.02.2021;5,8;0;-5,1
Flesland;SN50500;14.02.2021;6,4;0;1,1
Flesland;SN50500;15.02.2021;0,3;0;2,3
Flesland;SN50500;16.02.2021;0;0,3;3,2
Flesland;SN50500;17.02.2021;1,1;2,8;3,6
Flesland;SN50500;18.02.2021;0;5,3;6
Flesland;SN50500;19.02.2021;0;1,9;5,3
Flesland;SN50500;20.02.2021;0;12,4;7,1
Flesland;SN50500;21.02.2021;0,2;21,2;7,8
Flesland;SN50500;22.02.2021;0;0;6,6
Flesland;SN50500;23.02.2021;0;14,7;6,4
Flesland;SN50500;24.02.2021;0;16,5;7,5
Flesland;SN50500;25.02.2021;0,5;1,2;6,5
Flesland;SN50500;26.02.2021;0,2;5,8;6,2
Flesland;SN50500;27.02.2021;1,7;8,5;5,9
Flesland;SN50500;28.02.2021;0;1,9;5,5
Flesland;SN50500;01.03.2021;0;0,6;5,2
Flesland;SN50500;02.03.2021;0;2,3;5,3
Flesland;SN50500;03.03.2021;2,1;0;4,1
Flesland;SN50500;04.03.2021;7,6;0;1,2
Flesland;SN50500;05.03.2021;0,3;0;1,3
Flesland;SN50500;06.03.2021;0;5,4;4,3
Flesland;SN50500;07.03.2021;6,6;2,4;1,6
Flesland;SN50500;08.03.2021;4,6;0;0,9
Flesland;SN50500;09.03.2021;9,1;0;1,7
Flesland;SN50500;10.03.2021;0;0;3,6
Flesland;SN50500;11.03.2021;0;3;5,2
Flesland;SN50500;12.03.2021;0;5,1;4,6
Flesland;SN50500;13.03.2021;0;4,1;2,6
Flesland;SN50500;14.03.2021;0;19,1;3,1
Flesland;SN50500;15.03.2021;3,5;13,8;3,4
Flesland;SN50500;16.03.2021;0;0;2,4
Flesland;SN50500;17.03.2021;0;0;2,8
Flesland;SN50500;18.03.2021;0;0;4,5
Flesland;SN50500;19.03.2021;0;0;3,6
Flesland;SN50500;20.03.2021;0,1;1,3;4,7
Flesland;SN50500;21.03.2021;2,4;7,1;3,6
Flesland;SN50500;22.03.2021;0;4,1;5,6
Flesland;SN50500;23.03.2021;0;5,5;6,8
Flesland;SN50500;24.03.2021;1,8;3,5;6,4
Flesland;SN50500;25.03.2021;0,4;7,6;6,2
Flesland;SN50500;26.03.2021;0;5,3;6,8
Flesland;SN50500;27.03.2021;4;11,2;5,2
Flesland;SN50500;28.03.2021;0;0,5;5,6
Flesland;SN50500;29.03.2021;0;14;7,8
Flesland;SN50500;30.03.2021;0;7,7;7,6
Flesland;SN50500;31.03.2021;7,1;30,9;5
Flesland;SN50500;01.04.2021;6,7;0;4
Flesland;SN50500;02.04.2021;6;0,6;5,1
Flesland;SN50500;03.04.2021;3,4;0;4,7
Flesland;SN50500;04.04.2021;0;0,5;4,1
Flesland;SN50500;05.04.2021;4,7;13,7;0,6
Flesland;SN50500;06.04.2021;3,4;3,6;1,9
Flesland;SN50500;07.04.2021;7;4,3;2,4
Flesland;SN50500;08.04.2021;0;0,5;1,6
Flesland;SN50500;09.04.2021;5,8;16,7;2,7
Flesland;SN50500;10.04.2021;7,8;5,6;2
Flesland;SN50500;11.04.2021;12,5;1,1;2,8
Flesland;SN50500;12.04.2021;9;0;5,4
Flesland;SN50500;13.04.2021;1,2;0;3,9
Flesland;SN50500;14.04.2021;0;0,7;3,6
Flesland;SN50500;15.04.2021;13,6;0,7;4,8
Flesland;SN50500;16.04.2021;12;0;6,3
Flesland;SN50500;17.04.2021;14,2;0;7,7
Flesland;SN50500;18.04.2021;14,1;0;9,2
Flesland;SN50500;19.04.2021;14,2;0;9,9
Flesland;SN50500;20.04.2021;2;0;8
Flesland;SN50500;21.04.2021;6,4;5,4;4,4
Flesland;SN50500;22.04.2021;14,2;3,3;4,7
Flesland;SN50500;23.04.2021;11,9;0,3;4,7
Flesland;SN50500;24.04.2021;8,3;0;4,2
Flesland;SN50500;25.04.2021;13,3;0;4,6
